cislo_provozu;nazev;ulice;mesto;kraj;psc;manazer;email
260;Hudební škola hl. města Prahy;Komenského nám. 9;Praha 3;Hl.m.Praha;130 00;Veronika Rachnevová;provoz.hudebni.skola@gthcatering.cz
770;Kimberly-Clark s.r.o.;Dolecká 111;Jaroměř;Královéhradecký;551 01;Petra Skořepová;provoz.kimberly@gthcatering.cz
1080;První brněnská strojírna a.s.;Vlkovská 279;Velká Bíteš;Vysočina;595 01;Radka Filipová;provoz.pbs@gthcatering.cz
1380;Školní kuchyně PBS;Vlkovská 279;Velká Bíteš;Vysočina;595 12;Kateřina Šmídová;provoz.pbs@gthcatering.cz
1400;PARAMO a.s.;Přerovská 560;Pardubice;Pardubický;530 06;Novotná Lucie;provoz.paramo@gthcatering.cz
1400;STUEKEN, s. r. o.;Kladská 1006/61a;Hradec Králové;Královéhradecký;500 03;Novotná Lucie;provoz.paramo@gthcatering.cz
1410;Trane Technologies s.r.o. Kolín;Ovčáry 292;Kolín;Středočeský;280 02;Petra Hrubešová;provoz.irem@gthcatering.cz
1460;Vojenský útvar 2120 Pardubice Semtín;Semtín 188;Pardubice;Pardubický;530 02;Andrea Staňková;provoz.paramo@gthcatering.cz
1500;Oblastní nemocnice Náchod a.s. - pobočka Broumov;Smetanova 91;Broumov;Královéhradecký;550 16;Hlušičková Naďa;provoz.broumov@gthcatering.cz
1520;Městská nemocnice, a.s., Dvůr Králové n. Labem;Vrchlického 1504;Dvůr Kr.n.Labem;Královéhradecký;544 01;Jana Stejskalová;provoz.nemocnicedk@gthcatering.cz
1540;Technologický park k.s.;U Panasonicu 376;Pardubice-Staré Čívice;Pardubický;530 06;Andrea Staňková;provoz.paramo@gthcatering.cz
1580;AMMANN Czech Republic a.s.;Náchodská 145;Nové Město n.Metují;Královéhradecký;549 01;Jana Uhercová;provoz.ammann@gthcatering.cz
1590;KORADO a.s.;Bratří Hubálků 869;Česká Třebová;Pardubický;560 02;Monika Mikulášová Tomšová;provoz.korado@gthcatering.cz
1600;Hella Autotechnik s.r.o, Mohelnice;Družstevní 338/16;Mohelnice;Olomoucký;789 85;;provoz.hella@gthcatering.cz
1600;Hella Autotechnik NOVA s.r.o., Horka;nám. Osvobození 6/14;Horka nad Moravou;Olomoucký;783 35;;provoz.hella@gthcatering.cz
1600;Hella Autotechnik s.r.o, Slavonín;Na Statkách 654/9;Slavonín;Olomoucký;; ;provoz.hella@gthcatering.cz
